Instance,Income
111994,33669.37357387031
111995,7200.433755845966
111996,39625.21936291752
111997,126474.06806734849
111998,26196.385173196413
111999,86236.4587584815
112000,104937.22035378095
112001,50008.12469777211
112002,30588.24415357859
112003,102356.98824644665
112004,5206.945338579175
112005,174162.62389591621
112006,28049.260126952922
112007,112676.35114951438
112008,279738.0677391525
112009,76899.85779161024
112010,45505.46736818675
112011,30758.73520625319
112012,12547.817599014765
112013,20670.513104932143
112014,107431.6757380123
112015,49830.384366061415
112016,39047.75867874652
112017,23216.107358101384
112018,160127.46545144572
112019,57528.05284126054
112020,29603.197245986743
112021,16531.758343312493
112022,96485.18853430571
112023,62066.36269417165
112024,24822.896875896327
112025,86977.18733617284
112026,57418.83587342548
112027,64779.28503920449
112028,29610.213942707174
112029,47133.93960600267
112030,177483.20167190902
112031,235644.8332482651
112032,273541.55250576494
112033,88748.21832997754
112034,215903.95278774685
112035,106017.66084309267
112036,208278.64079627921
112037,107815.58428179225
112038,230787.09720814304
112039,49667.35212990861
112040,68239.84250678959
112041,66454.9441553827
112042,47240.645869726126
112043,59863.415098677055
112044,47373.32318292992
112045,20903.62933635973
112046,281975.67254069657
112047,37745.84498721771
112048,25037.552897726662
112049,105106.04640648146
112050,45678.30716077578
112051,70661.50819156047
112052,124054.96533134615
112053,220635.75502691418
112054,71115.49323704335
112055,28426.754890667453
112056,95222.20884313995
112057,24887.941575582216
112058,35491.55100699184
112059,34035.51251566927
112060,250224.92620155163
112061,143407.30403314956
112062,198955.79094179333
112063,62392.17686937128
112064,13673.941510016157
112065,40421.15966061804
112066,6354.18956977527
112067,126172.97848193512
112068,50723.05150036194
112069,278256.83379818196
112070,386120.9657157636
112071,44922.858775882785
112072,81932.3176446783
112073,34737.131971127325
112074,23890.51062035292
112075,9010.386404960229
112076,119326.90227160038
112077,1143150.0077176609
112078,5475.097645245558
112079,184796.69226230148
112080,89176.08371479764
112081,962790.9145172755
112082,35389.06325325796
112083,29756.409966767067
112084,21844.884633939462
112085,52061.89629719736
112086,34161.498553487516
112087,59902.493629369405
112088,122115.67677410839
112089,50684.613787448165
112090,220792.89969067677
112091,46388.43011721541
112092,41022.73191437032
112093,76494.16866100216
112094,35324.10982269128
112095,50416.98215573341
112096,81630.81385457405
112097,24910.08764787795
112098,31724.966341950098
112099,31611.282002696073
112100,51902.10701902025
112101,188092.80823476668
112102,36259.196877626564
112103,140542.91638494277
112104,63648.82761534368
112105,58065.86586051886
112106,113365.30760721836
112107,137732.9972284886
